Variable,Units,Description
tcons.ref_axis_tower,m,
tcons.outer_diameter_full,m,
tcons.max_allowable_td_ratio,,
tcons.rotor_orientation,n/a,
towerse.env.distLoads.windLoads_Px,N/m,
towerse.env.distLoads.windLoads_Py,N/m,
towerse.env.distLoads.windLoads_Pz,N/m,
towerse.env.distLoads.windLoads_qdyn,N/m**2,
towerse.env.distLoads.windLoads_z,m,
towerse.env.distLoads.windLoads_beta,deg,
towerse.env.distLoads.waveLoads_Px,N/m,
towerse.env.distLoads.waveLoads_Py,N/m,
towerse.env.distLoads.waveLoads_Pz,N/m,
towerse.env.distLoads.waveLoads_qdyn,N/m**2,
towerse.env.distLoads.waveLoads_z,m,
towerse.env.distLoads.waveLoads_beta,deg,
towerse.z_global,m,
towerse.yaw,deg,
towerse.env.Uref,m/s,
towerse.wind_reference_height,m,
towerse.z0,m,
towerse.shearExp,,
towerse.env.windLoads.U,m/s,
towerse.outer_diameter_full,m,
towerse.beta_wind,deg,
towerse.rho_air,kg/m**3,
towerse.mu_air,kg/m/s,
towerse.cd_usr,,
towerse.joint1,m,
towerse.joint2,m,
towerse.s_full,m,
towerse.s_all,,
towerse.g2e.Px_global,N/m,
towerse.g2e.Py_global,N/m,
towerse.g2e.Pz_global,N/m,
towerse.g2e.qdyn_global,Pa,
towerse.lc:Px,N/m,
towerse.lc:Py,N/m,
towerse.lc:Pz,N/m,
towerse.lc:qdyn,Pa,
towerse.z_full,m,
towerse.t_full,m,
towerse.tower_height,m,
towerse.E_full,Pa,
towerse.G_full,Pa,
towerse.rho_full,kg/m**3,
towerse.sigma_y_full,Pa,
towerse.section_A,m**2,
towerse.section_Asx,m**2,
towerse.section_Asy,m**2,
towerse.section_Ixx,kg*m**2,
towerse.section_Iyy,kg*m**2,
towerse.section_J0,kg*m**2,
towerse.section_rho,kg/m**3,
towerse.section_E,Pa,
towerse.section_G,Pa,
towerse.section_L,m,
towerse.post.cylinder_Fz,N,
towerse.post.cylinder_Vx,N,
towerse.post.cylinder_Vy,N,
towerse.post.cylinder_Mxx,N*m,
towerse.post.cylinder_Myy,N*m,
towerse.post.cylinder_Mzz,N*m,
towerse.qdyn,Pa,
towerse.nodes_xyz,m,
towerse.lumped_mass,kg,
towerse.rna_mass,kg,
towerse.rna_I,kg*m**2,
towerse.rna_cg,m,
towerse.tower.rna_F,N,
towerse.tower.rna_M,N*m,
towerse.Px,N/m,
towerse.Py,N/m,
towerse.Pz,N/m,
towerse.tower_mass,kg,
towerse.tower_center_of_mass,m,
towerse.tower_I_base,kg*m**2,
fixedse.member.gc.d,m,
fixedse.member.gc.t,m,
fixedse.member.s,,
fixedse.member.height,m,
fixedse.monopile_outer_diameter,m,
fixedse.member.ca_usr_grid,,
fixedse.member.cd_usr_grid,,
fixedse.monopile_wall_thickness,m,
fixedse.member.E,Pa,
fixedse.member.G,Pa,
fixedse.member.sigma_y,Pa,
fixedse.member.rho,kg/m**3,
fixedse.member.unit_cost,USD/kg,
fixedse.member.outfitting_factor,,
fixedse.member.s_ghost1,,
fixedse.member.s_ghost2,,
fixedse.monopile_s,,
fixedse.s_const1,,
fixedse.s_const2,,
fixedse.monopile_layer_thickness,m,
fixedse.monopile_outer_diameter_in,m,
fixedse.E_mat,Pa,
fixedse.E_user,Pa,
fixedse.G_mat,Pa,
fixedse.sigma_y_mat,Pa,
fixedse.sigma_ult_mat,Pa,
fixedse.wohler_exp_mat,,
fixedse.wohler_A_mat,,
fixedse.rho_mat,kg/m**3,
fixedse.unit_cost_mat,USD/kg,
fixedse.outfitting_factor_in,,
fixedse.monopile_layer_materials,n/a,
fixedse.member.ballast_materials,n/a,
fixedse.material_names,n/a,
fixedse.outfitting_full,,
fixedse.member.unit_cost_full,USD/kg,
fixedse.labor_cost_rate,USD/min,
fixedse.painting_cost_rate,USD/m**2,
fixedse.monopile_mass_user,kg,
fixedse.mono.cylinder_mass,kg,
fixedse.mono.cylinder_cost,USD,
fixedse.mono.cylinder_z_cg,m,
fixedse.mono.cylinder_I_base,kg*m**2,
