Variable,Units,Description
floatingse.transition_piece_cost,USD,
floatingse.member0_main_column.gc.d,m,
floatingse.member0_main_column.gc.t,m,
floatingse.member0_main_column.s,,
floatingse.member0_main_column.height,m,
floatingse.member0_main_column.outer_diameter,m,
floatingse.member0_main_column.ca_usr_grid,,
floatingse.member0_main_column.cd_usr_grid,,
floatingse.member0_main_column.wall_thickness,m,
floatingse.member0_main_column.E,Pa,
floatingse.member0_main_column.G,Pa,
floatingse.member0_main_column.sigma_y,Pa,
floatingse.member0_main_column.rho,kg/m**3,
floatingse.member0_main_column.unit_cost,USD/kg,
floatingse.member0_main_column.outfitting_factor,,
floatingse.member0_main_column.nodes_xyz,m,
floatingse.member0_main_column.s_full,m,
floatingse.member0_main_column.z_full,m,
floatingse.member0_main_column.outer_diameter_full,m,
floatingse.member0_main_column.s_ghost1,,
floatingse.member0_main_column.s_ghost2,,
floatingse.member0_main_column.s_in,,
floatingse.member0_main_column.s_const1,,
floatingse.member0_main_column.s_const2,,
floatingse.member0_main_column.layer_thickness,m,
floatingse.member0_main_column.outer_diameter_in,m,
floatingse.E_mat,Pa,
floatingse.member0_main_column.E_user,Pa,
floatingse.G_mat,Pa,
floatingse.sigma_y_mat,Pa,
floatingse.sigma_ult_mat,Pa,
floatingse.wohler_exp_mat,,
floatingse.wohler_A_mat,,
floatingse.rho_mat,kg/m**3,
floatingse.unit_cost_mat,USD/kg,
floatingse.member0_main_column.outfitting_factor_in,,
floatingse.member0_main_column.layer_materials,n/a,
floatingse.member0_main_column.ballast_materials,n/a,
floatingse.material_names,n/a,
floatingse.member0_main_column.t_full,m,
floatingse.member0_main_column.E_full,Pa,
floatingse.member0_main_column.G_full,Pa,
floatingse.member0_main_column.rho_full,kg/m**3,
floatingse.member0_main_column.sigma_y_full,Pa,
floatingse.member0_main_column.unit_cost_full,USD/kg,
floatingse.member0_main_column.outfitting_full,,
floatingse.labor_cost_rate,USD/min,
floatingse.painting_cost_rate,USD/m**2,
floatingse.member0_main_column.grid_axial_joints,,
floatingse.member0_main_column.bulkhead_grid,,
floatingse.member0_main_column.bulkhead_thickness,m,
floatingse.member0_main_column.ring_stiffener_web_height,m,
floatingse.member0_main_column.ring_stiffener_web_thickness,m,
floatingse.member0_main_column.ring_stiffener_flange_width,m,
floatingse.member0_main_column.ring_stiffener_flange_thickness,m,
floatingse.member0_main_column.ring_stiffener_spacing,,
floatingse.member0_main_column.axial_stiffener_web_height,m,
floatingse.member0_main_column.axial_stiffener_web_thickness,m,
floatingse.member0_main_column.axial_stiffener_flange_width,m,
floatingse.member0_main_column.axial_stiffener_flange_thickness,m,
floatingse.member0_main_column.axial_stiffener_spacing,rad,
floatingse.member0_main_column.ballast_grid,,
floatingse.member0_main_column.ballast_density,kg/m**3,
floatingse.member0_main_column.ballast_volume,m**3,
floatingse.member0_main_column.ballast_unit_cost,USD/kg,
floatingse.member0_main_column:mass_user,kg,
floatingse.member1_column1.gc.d,m,
floatingse.member1_column1.gc.t,m,
floatingse.member1_column1.s,,
floatingse.member1_column1.height,m,
floatingse.member1_column1.outer_diameter,m,
floatingse.member1_column1.ca_usr_grid,,
floatingse.member1_column1.cd_usr_grid,,
floatingse.member1_column1.wall_thickness,m,
floatingse.member1_column1.E,Pa,
floatingse.member1_column1.G,Pa,
floatingse.member1_column1.sigma_y,Pa,
floatingse.member1_column1.rho,kg/m**3,
floatingse.member1_column1.unit_cost,USD/kg,
floatingse.member1_column1.outfitting_factor,,
floatingse.member1_column1.nodes_xyz,m,
floatingse.member1_column1.s_full,m,
floatingse.member1_column1.z_full,m,
floatingse.member1_column1.outer_diameter_full,m,
floatingse.member1_column1.s_ghost1,,
floatingse.member1_column1.s_ghost2,,
floatingse.member1_column1.s_in,,
floatingse.member1_column1.s_const1,,
floatingse.member1_column1.s_const2,,
floatingse.member1_column1.layer_thickness,m,
floatingse.member1_column1.outer_diameter_in,m,
floatingse.member1_column1.E_user,Pa,
floatingse.member1_column1.outfitting_factor_in,,
floatingse.member1_column1.layer_materials,n/a,
floatingse.member1_column1.ballast_materials,n/a,
floatingse.member1_column1.t_full,m,
floatingse.member1_column1.E_full,Pa,
floatingse.member1_column1.G_full,Pa,
floatingse.member1_column1.rho_full,kg/m**3,
floatingse.member1_column1.sigma_y_full,Pa,
floatingse.member1_column1.unit_cost_full,USD/kg,
floatingse.member1_column1.outfitting_full,,
floatingse.member1_column1.grid_axial_joints,,
floatingse.member1_column1.bulkhead_grid,,
floatingse.member1_column1.bulkhead_thickness,m,
floatingse.member1_column1.ring_stiffener_web_height,m,
floatingse.member1_column1.ring_stiffener_web_thickness,m,
floatingse.member1_column1.ring_stiffener_flange_width,m,
floatingse.member1_column1.ring_stiffener_flange_thickness,m,
floatingse.member1_column1.ring_stiffener_spacing,,
floatingse.member1_column1.axial_stiffener_web_height,m,
floatingse.member1_column1.axial_stiffener_web_thickness,m,
floatingse.member1_column1.axial_stiffener_flange_width,m,
floatingse.member1_column1.axial_stiffener_flange_thickness,m,
floatingse.member1_column1.axial_stiffener_spacing,rad,
floatingse.member1_column1.ballast_grid,,
floatingse.member1_column1.ballast_density,kg/m**3,
floatingse.member1_column1.ballast_volume,m**3,
floatingse.member1_column1.ballast_unit_cost,USD/kg,
floatingse.member1_column1:mass_user,kg,
floatingse.member2_column2.gc.d,m,
floatingse.member2_column2.gc.t,m,
floatingse.member2_column2.s,,
floatingse.member2_column2.height,m,
floatingse.member2_column2.outer_diameter,m,
floatingse.member2_column2.ca_usr_grid,,
floatingse.member2_column2.cd_usr_grid,,
floatingse.member2_column2.wall_thickness,m,
floatingse.member2_column2.E,Pa,
floatingse.member2_column2.G,Pa,
floatingse.member2_column2.sigma_y,Pa,
floatingse.member2_column2.rho,kg/m**3,
floatingse.member2_column2.unit_cost,USD/kg,
floatingse.member2_column2.outfitting_factor,,
floatingse.member2_column2.nodes_xyz,m,
floatingse.member2_column2.s_full,m,
floatingse.member2_column2.z_full,m,
floatingse.member2_column2.outer_diameter_full,m,
floatingse.member2_column2.s_ghost1,,
floatingse.member2_column2.s_ghost2,,
floatingse.member2_column2.s_in,,
floatingse.member2_column2.s_const1,,
floatingse.member2_column2.s_const2,,
floatingse.member2_column2.layer_thickness,m,
floatingse.member2_column2.outer_diameter_in,m,
floatingse.member2_column2.E_user,Pa,
floatingse.member2_column2.outfitting_factor_in,,
floatingse.member2_column2.layer_materials,n/a,
floatingse.member2_column2.ballast_materials,n/a,
floatingse.member2_column2.t_full,m,
floatingse.member2_column2.E_full,Pa,
floatingse.member2_column2.G_full,Pa,
floatingse.member2_column2.rho_full,kg/m**3,
floatingse.member2_column2.sigma_y_full,Pa,
floatingse.member2_column2.unit_cost_full,USD/kg,
floatingse.member2_column2.outfitting_full,,
floatingse.member2_column2.grid_axial_joints,,
floatingse.member2_column2.bulkhead_grid,,
floatingse.member2_column2.bulkhead_thickness,m,
floatingse.member2_column2.ring_stiffener_web_height,m,
floatingse.member2_column2.ring_stiffener_web_thickness,m,
floatingse.member2_column2.ring_stiffener_flange_width,m,
floatingse.member2_column2.ring_stiffener_flange_thickness,m,
floatingse.member2_column2.ring_stiffener_spacing,,
floatingse.member2_column2.axial_stiffener_web_height,m,
floatingse.member2_column2.axial_stiffener_web_thickness,m,
floatingse.member2_column2.axial_stiffener_flange_width,m,
floatingse.member2_column2.axial_stiffener_flange_thickness,m,
floatingse.member2_column2.axial_stiffener_spacing,rad,
floatingse.member2_column2.ballast_grid,,
floatingse.member2_column2.ballast_density,kg/m**3,
floatingse.member2_column2.ballast_volume,m**3,
floatingse.member2_column2.ballast_unit_cost,USD/kg,
floatingse.member2_column2:mass_user,kg,
floatingse.member3_column3.gc.d,m,
floatingse.member3_column3.gc.t,m,
floatingse.member3_column3.s,,
floatingse.member3_column3.height,m,
floatingse.member3_column3.outer_diameter,m,
floatingse.member3_column3.ca_usr_grid,,
floatingse.member3_column3.cd_usr_grid,,
floatingse.member3_column3.wall_thickness,m,
floatingse.member3_column3.E,Pa,
floatingse.member3_column3.G,Pa,
floatingse.member3_column3.sigma_y,Pa,
floatingse.member3_column3.rho,kg/m**3,
floatingse.member3_column3.unit_cost,USD/kg,
floatingse.member3_column3.outfitting_factor,,
floatingse.member3_column3.nodes_xyz,m,
floatingse.member3_column3.s_full,m,
floatingse.member3_column3.z_full,m,
floatingse.member3_column3.outer_diameter_full,m,
floatingse.member3_column3.s_ghost1,,
floatingse.member3_column3.s_ghost2,,
floatingse.member3_column3.s_in,,
floatingse.member3_column3.s_const1,,
floatingse.member3_column3.s_const2,,
floatingse.member3_column3.layer_thickness,m,
floatingse.member3_column3.outer_diameter_in,m,
floatingse.member3_column3.E_user,Pa,
floatingse.member3_column3.outfitting_factor_in,,
floatingse.member3_column3.layer_materials,n/a,
floatingse.member3_column3.ballast_materials,n/a,
floatingse.member3_column3.t_full,m,
floatingse.member3_column3.E_full,Pa,
floatingse.member3_column3.G_full,Pa,
floatingse.member3_column3.rho_full,kg/m**3,
floatingse.member3_column3.sigma_y_full,Pa,
floatingse.member3_column3.unit_cost_full,USD/kg,
floatingse.member3_column3.outfitting_full,,
floatingse.member3_column3.grid_axial_joints,,
floatingse.member3_column3.bulkhead_grid,,
floatingse.member3_column3.bulkhead_thickness,m,
floatingse.member3_column3.ring_stiffener_web_height,m,
floatingse.member3_column3.ring_stiffener_web_thickness,m,
floatingse.member3_column3.ring_stiffener_flange_width,m,
floatingse.member3_column3.ring_stiffener_flange_thickness,m,
floatingse.member3_column3.ring_stiffener_spacing,,
floatingse.member3_column3.axial_stiffener_web_height,m,
floatingse.member3_column3.axial_stiffener_web_thickness,m,
floatingse.member3_column3.axial_stiffener_flange_width,m,
floatingse.member3_column3.axial_stiffener_flange_thickness,m,
floatingse.member3_column3.axial_stiffener_spacing,rad,
floatingse.member3_column3.ballast_grid,,
floatingse.member3_column3.ballast_density,kg/m**3,
floatingse.member3_column3.ballast_volume,m**3,
floatingse.member3_column3.ballast_unit_cost,USD/kg,
floatingse.member3_column3:mass_user,kg,
floatingse.member4_Y_pontoon_upper1.gc.d,m,
floatingse.member4_Y_pontoon_upper1.gc.t,m,
floatingse.member4_Y_pontoon_upper1.s,,
floatingse.member4_Y_pontoon_upper1.height,m,
floatingse.member4_Y_pontoon_upper1.outer_diameter,m,
floatingse.member4_Y_pontoon_upper1.ca_usr_grid,,
floatingse.member4_Y_pontoon_upper1.cd_usr_grid,,
floatingse.member4_Y_pontoon_upper1.wall_thickness,m,
floatingse.member4_Y_pontoon_upper1.E,Pa,
floatingse.member4_Y_pontoon_upper1.G,Pa,
floatingse.member4_Y_pontoon_upper1.sigma_y,Pa,
floatingse.member4_Y_pontoon_upper1.rho,kg/m**3,
floatingse.member4_Y_pontoon_upper1.unit_cost,USD/kg,
floatingse.member4_Y_pontoon_upper1.outfitting_factor,,
floatingse.member4_Y_pontoon_upper1.nodes_xyz,m,
floatingse.member4_Y_pontoon_upper1.s_full,m,
floatingse.member4_Y_pontoon_upper1.z_full,m,
floatingse.member4_Y_pontoon_upper1.outer_diameter_full,m,
floatingse.member4_Y_pontoon_upper1.s_ghost1,,
floatingse.member4_Y_pontoon_upper1.s_ghost2,,
floatingse.member4_Y_pontoon_upper1.s_in,,
floatingse.member4_Y_pontoon_upper1.s_const1,,
floatingse.member4_Y_pontoon_upper1.s_const2,,
floatingse.member4_Y_pontoon_upper1.layer_thickness,m,
floatingse.member4_Y_pontoon_upper1.outer_diameter_in,m,
floatingse.member4_Y_pontoon_upper1.E_user,Pa,
floatingse.member4_Y_pontoon_upper1.outfitting_factor_in,,
floatingse.member4_Y_pontoon_upper1.layer_materials,n/a,
floatingse.member4_Y_pontoon_upper1.ballast_materials,n/a,
floatingse.member4_Y_pontoon_upper1.t_full,m,
floatingse.member4_Y_pontoon_upper1.E_full,Pa,
floatingse.member4_Y_pontoon_upper1.G_full,Pa,
floatingse.member4_Y_pontoon_upper1.rho_full,kg/m**3,
floatingse.member4_Y_pontoon_upper1.sigma_y_full,Pa,
floatingse.member4_Y_pontoon_upper1.unit_cost_full,USD/kg,
floatingse.member4_Y_pontoon_upper1.outfitting_full,,
floatingse.member4_Y_pontoon_upper1.grid_axial_joints,,
floatingse.member4_Y_pontoon_upper1.bulkhead_grid,,
floatingse.member4_Y_pontoon_upper1.bulkhead_thickness,m,
floatingse.member4_Y_pontoon_upper1.ring_stiffener_web_height,m,
floatingse.member4_Y_pontoon_upper1.ring_stiffener_web_thickness,m,
floatingse.member4_Y_pontoon_upper1.ring_stiffener_flange_width,m,
floatingse.member4_Y_pontoon_upper1.ring_stiffener_flange_thickness,m,
floatingse.member4_Y_pontoon_upper1.ring_stiffener_spacing,,
floatingse.member4_Y_pontoon_upper1.axial_stiffener_web_height,m,
floatingse.member4_Y_pontoon_upper1.axial_stiffener_web_thickness,m,
floatingse.member4_Y_pontoon_upper1.axial_stiffener_flange_width,m,
floatingse.member4_Y_pontoon_upper1.axial_stiffener_flange_thickness,m,
floatingse.member4_Y_pontoon_upper1.axial_stiffener_spacing,rad,
floatingse.member4_Y_pontoon_upper1.ballast_grid,,
floatingse.member4_Y_pontoon_upper1.ballast_density,kg/m**3,
floatingse.member4_Y_pontoon_upper1.ballast_volume,m**3,
floatingse.member4_Y_pontoon_upper1.ballast_unit_cost,USD/kg,
floatingse.member4_Y_pontoon_upper1:mass_user,kg,
floatingse.member5_Y_pontoon_upper2.gc.d,m,
floatingse.member5_Y_pontoon_upper2.gc.t,m,
floatingse.member5_Y_pontoon_upper2.s,,
floatingse.member5_Y_pontoon_upper2.height,m,
floatingse.member5_Y_pontoon_upper2.outer_diameter,m,
floatingse.member5_Y_pontoon_upper2.ca_usr_grid,,
floatingse.member5_Y_pontoon_upper2.cd_usr_grid,,
floatingse.member5_Y_pontoon_upper2.wall_thickness,m,
floatingse.member5_Y_pontoon_upper2.E,Pa,
floatingse.member5_Y_pontoon_upper2.G,Pa,
floatingse.member5_Y_pontoon_upper2.sigma_y,Pa,
floatingse.member5_Y_pontoon_upper2.rho,kg/m**3,
floatingse.member5_Y_pontoon_upper2.unit_cost,USD/kg,
floatingse.member5_Y_pontoon_upper2.outfitting_factor,,
floatingse.member5_Y_pontoon_upper2.nodes_xyz,m,
floatingse.member5_Y_pontoon_upper2.s_full,m,
floatingse.member5_Y_pontoon_upper2.z_full,m,
floatingse.member5_Y_pontoon_upper2.outer_diameter_full,m,
floatingse.member5_Y_pontoon_upper2.s_ghost1,,
floatingse.member5_Y_pontoon_upper2.s_ghost2,,
floatingse.member5_Y_pontoon_upper2.s_in,,
floatingse.member5_Y_pontoon_upper2.s_const1,,
floatingse.member5_Y_pontoon_upper2.s_const2,,
floatingse.member5_Y_pontoon_upper2.layer_thickness,m,
floatingse.member5_Y_pontoon_upper2.outer_diameter_in,m,
floatingse.member5_Y_pontoon_upper2.E_user,Pa,
floatingse.member5_Y_pontoon_upper2.outfitting_factor_in,,
floatingse.member5_Y_pontoon_upper2.layer_materials,n/a,
floatingse.member5_Y_pontoon_upper2.ballast_materials,n/a,
floatingse.member5_Y_pontoon_upper2.t_full,m,
floatingse.member5_Y_pontoon_upper2.E_full,Pa,
floatingse.member5_Y_pontoon_upper2.G_full,Pa,
floatingse.member5_Y_pontoon_upper2.rho_full,kg/m**3,
floatingse.member5_Y_pontoon_upper2.sigma_y_full,Pa,
floatingse.member5_Y_pontoon_upper2.unit_cost_full,USD/kg,
floatingse.member5_Y_pontoon_upper2.outfitting_full,,
floatingse.member5_Y_pontoon_upper2.grid_axial_joints,,
floatingse.member5_Y_pontoon_upper2.bulkhead_grid,,
floatingse.member5_Y_pontoon_upper2.bulkhead_thickness,m,
floatingse.member5_Y_pontoon_upper2.ring_stiffener_web_height,m,
floatingse.member5_Y_pontoon_upper2.ring_stiffener_web_thickness,m,
floatingse.member5_Y_pontoon_upper2.ring_stiffener_flange_width,m,
floatingse.member5_Y_pontoon_upper2.ring_stiffener_flange_thickness,m,
floatingse.member5_Y_pontoon_upper2.ring_stiffener_spacing,,
floatingse.member5_Y_pontoon_upper2.axial_stiffener_web_height,m,
floatingse.member5_Y_pontoon_upper2.axial_stiffener_web_thickness,m,
floatingse.member5_Y_pontoon_upper2.axial_stiffener_flange_width,m,
floatingse.member5_Y_pontoon_upper2.axial_stiffener_flange_thickness,m,
floatingse.member5_Y_pontoon_upper2.axial_stiffener_spacing,rad,
floatingse.member5_Y_pontoon_upper2.ballast_grid,,
floatingse.member5_Y_pontoon_upper2.ballast_density,kg/m**3,
floatingse.member5_Y_pontoon_upper2.ballast_volume,m**3,
floatingse.member5_Y_pontoon_upper2.ballast_unit_cost,USD/kg,
floatingse.member5_Y_pontoon_upper2:mass_user,kg,
floatingse.member6_Y_pontoon_upper3.gc.d,m,
floatingse.member6_Y_pontoon_upper3.gc.t,m,
floatingse.member6_Y_pontoon_upper3.s,,
floatingse.member6_Y_pontoon_upper3.height,m,
floatingse.member6_Y_pontoon_upper3.outer_diameter,m,
floatingse.member6_Y_pontoon_upper3.ca_usr_grid,,
floatingse.member6_Y_pontoon_upper3.cd_usr_grid,,
floatingse.member6_Y_pontoon_upper3.wall_thickness,m,
floatingse.member6_Y_pontoon_upper3.E,Pa,
floatingse.member6_Y_pontoon_upper3.G,Pa,
floatingse.member6_Y_pontoon_upper3.sigma_y,Pa,
floatingse.member6_Y_pontoon_upper3.rho,kg/m**3,
floatingse.member6_Y_pontoon_upper3.unit_cost,USD/kg,
floatingse.member6_Y_pontoon_upper3.outfitting_factor,,
floatingse.member6_Y_pontoon_upper3.nodes_xyz,m,
floatingse.member6_Y_pontoon_upper3.s_full,m,
floatingse.member6_Y_pontoon_upper3.z_full,m,
floatingse.member6_Y_pontoon_upper3.outer_diameter_full,m,
floatingse.member6_Y_pontoon_upper3.s_ghost1,,
floatingse.member6_Y_pontoon_upper3.s_ghost2,,
floatingse.member6_Y_pontoon_upper3.s_in,,
floatingse.member6_Y_pontoon_upper3.s_const1,,
floatingse.member6_Y_pontoon_upper3.s_const2,,
floatingse.member6_Y_pontoon_upper3.layer_thickness,m,
floatingse.member6_Y_pontoon_upper3.outer_diameter_in,m,
floatingse.member6_Y_pontoon_upper3.E_user,Pa,
floatingse.member6_Y_pontoon_upper3.outfitting_factor_in,,
floatingse.member6_Y_pontoon_upper3.layer_materials,n/a,
floatingse.member6_Y_pontoon_upper3.ballast_materials,n/a,
floatingse.member6_Y_pontoon_upper3.t_full,m,
floatingse.member6_Y_pontoon_upper3.E_full,Pa,
floatingse.member6_Y_pontoon_upper3.G_full,Pa,
floatingse.member6_Y_pontoon_upper3.rho_full,kg/m**3,
floatingse.member6_Y_pontoon_upper3.sigma_y_full,Pa,
floatingse.member6_Y_pontoon_upper3.unit_cost_full,USD/kg,
floatingse.member6_Y_pontoon_upper3.outfitting_full,,
floatingse.member6_Y_pontoon_upper3.grid_axial_joints,,
floatingse.member6_Y_pontoon_upper3.bulkhead_grid,,
floatingse.member6_Y_pontoon_upper3.bulkhead_thickness,m,
floatingse.member6_Y_pontoon_upper3.ring_stiffener_web_height,m,
floatingse.member6_Y_pontoon_upper3.ring_stiffener_web_thickness,m,
floatingse.member6_Y_pontoon_upper3.ring_stiffener_flange_width,m,
floatingse.member6_Y_pontoon_upper3.ring_stiffener_flange_thickness,m,
floatingse.member6_Y_pontoon_upper3.ring_stiffener_spacing,,
floatingse.member6_Y_pontoon_upper3.axial_stiffener_web_height,m,
floatingse.member6_Y_pontoon_upper3.axial_stiffener_web_thickness,m,
floatingse.member6_Y_pontoon_upper3.axial_stiffener_flange_width,m,
floatingse.member6_Y_pontoon_upper3.axial_stiffener_flange_thickness,m,
floatingse.member6_Y_pontoon_upper3.axial_stiffener_spacing,rad,
floatingse.member6_Y_pontoon_upper3.ballast_grid,,
floatingse.member6_Y_pontoon_upper3.ballast_density,kg/m**3,
floatingse.member6_Y_pontoon_upper3.ballast_volume,m**3,
floatingse.member6_Y_pontoon_upper3.ballast_unit_cost,USD/kg,
floatingse.member6_Y_pontoon_upper3:mass_user,kg,
floatingse.member7_Y_pontoon_lower1.gc.d,m,
floatingse.member7_Y_pontoon_lower1.gc.t,m,
floatingse.member7_Y_pontoon_lower1.s,,
floatingse.member7_Y_pontoon_lower1.height,m,
floatingse.member7_Y_pontoon_lower1.outer_diameter,m,
floatingse.member7_Y_pontoon_lower1.ca_usr_grid,,
floatingse.member7_Y_pontoon_lower1.cd_usr_grid,,
floatingse.member7_Y_pontoon_lower1.wall_thickness,m,
floatingse.member7_Y_pontoon_lower1.E,Pa,
floatingse.member7_Y_pontoon_lower1.G,Pa,
floatingse.member7_Y_pontoon_lower1.sigma_y,Pa,
floatingse.member7_Y_pontoon_lower1.rho,kg/m**3,
floatingse.member7_Y_pontoon_lower1.unit_cost,USD/kg,
floatingse.member7_Y_pontoon_lower1.outfitting_factor,,
floatingse.member7_Y_pontoon_lower1.nodes_xyz,m,
floatingse.member7_Y_pontoon_lower1.s_full,m,
floatingse.member7_Y_pontoon_lower1.z_full,m,
floatingse.member7_Y_pontoon_lower1.outer_diameter_full,m,
floatingse.member7_Y_pontoon_lower1.s_ghost1,,
floatingse.member7_Y_pontoon_lower1.s_ghost2,,
floatingse.member7_Y_pontoon_lower1.s_in,,
floatingse.member7_Y_pontoon_lower1.s_const1,,
floatingse.member7_Y_pontoon_lower1.s_const2,,
floatingse.member7_Y_pontoon_lower1.layer_thickness,m,
floatingse.member7_Y_pontoon_lower1.outer_diameter_in,m,
floatingse.member7_Y_pontoon_lower1.E_user,Pa,
floatingse.member7_Y_pontoon_lower1.outfitting_factor_in,,
floatingse.member7_Y_pontoon_lower1.layer_materials,n/a,
floatingse.member7_Y_pontoon_lower1.ballast_materials,n/a,
floatingse.member7_Y_pontoon_lower1.t_full,m,
floatingse.member7_Y_pontoon_lower1.E_full,Pa,
floatingse.member7_Y_pontoon_lower1.G_full,Pa,
floatingse.member7_Y_pontoon_lower1.rho_full,kg/m**3,
floatingse.member7_Y_pontoon_lower1.sigma_y_full,Pa,
floatingse.member7_Y_pontoon_lower1.unit_cost_full,USD/kg,
floatingse.member7_Y_pontoon_lower1.outfitting_full,,
floatingse.member7_Y_pontoon_lower1.grid_axial_joints,,
floatingse.member7_Y_pontoon_lower1.bulkhead_grid,,
floatingse.member7_Y_pontoon_lower1.bulkhead_thickness,m,
floatingse.member7_Y_pontoon_lower1.ring_stiffener_web_height,m,
floatingse.member7_Y_pontoon_lower1.ring_stiffener_web_thickness,m,
floatingse.member7_Y_pontoon_lower1.ring_stiffener_flange_width,m,
floatingse.member7_Y_pontoon_lower1.ring_stiffener_flange_thickness,m,
floatingse.member7_Y_pontoon_lower1.ring_stiffener_spacing,,
floatingse.member7_Y_pontoon_lower1.axial_stiffener_web_height,m,
floatingse.member7_Y_pontoon_lower1.axial_stiffener_web_thickness,m,
floatingse.member7_Y_pontoon_lower1.axial_stiffener_flange_width,m,
floatingse.member7_Y_pontoon_lower1.axial_stiffener_flange_thickness,m,
floatingse.member7_Y_pontoon_lower1.axial_stiffener_spacing,rad,
floatingse.member7_Y_pontoon_lower1.ballast_grid,,
floatingse.member7_Y_pontoon_lower1.ballast_density,kg/m**3,
floatingse.member7_Y_pontoon_lower1.ballast_volume,m**3,
floatingse.member7_Y_pontoon_lower1.ballast_unit_cost,USD/kg,
floatingse.member7_Y_pontoon_lower1:mass_user,kg,
floatingse.member8_Y_pontoon_lower2.gc.d,m,
floatingse.member8_Y_pontoon_lower2.gc.t,m,
floatingse.member8_Y_pontoon_lower2.s,,
floatingse.member8_Y_pontoon_lower2.height,m,
floatingse.member8_Y_pontoon_lower2.outer_diameter,m,
floatingse.member8_Y_pontoon_lower2.ca_usr_grid,,
floatingse.member8_Y_pontoon_lower2.cd_usr_grid,,
floatingse.member8_Y_pontoon_lower2.wall_thickness,m,
floatingse.member8_Y_pontoon_lower2.E,Pa,
floatingse.member8_Y_pontoon_lower2.G,Pa,
floatingse.member8_Y_pontoon_lower2.sigma_y,Pa,
floatingse.member8_Y_pontoon_lower2.rho,kg/m**3,
floatingse.member8_Y_pontoon_lower2.unit_cost,USD/kg,
floatingse.member8_Y_pontoon_lower2.outfitting_factor,,
floatingse.member8_Y_pontoon_lower2.nodes_xyz,m,
floatingse.member8_Y_pontoon_lower2.s_full,m,
floatingse.member8_Y_pontoon_lower2.z_full,m,
floatingse.member8_Y_pontoon_lower2.outer_diameter_full,m,
floatingse.member8_Y_pontoon_lower2.s_ghost1,,
floatingse.member8_Y_pontoon_lower2.s_ghost2,,
floatingse.member8_Y_pontoon_lower2.s_in,,
floatingse.member8_Y_pontoon_lower2.s_const1,,
floatingse.member8_Y_pontoon_lower2.s_const2,,
floatingse.member8_Y_pontoon_lower2.layer_thickness,m,
floatingse.member8_Y_pontoon_lower2.outer_diameter_in,m,
floatingse.member8_Y_pontoon_lower2.E_user,Pa,
floatingse.member8_Y_pontoon_lower2.outfitting_factor_in,,
floatingse.member8_Y_pontoon_lower2.layer_materials,n/a,
floatingse.member8_Y_pontoon_lower2.ballast_materials,n/a,
floatingse.member8_Y_pontoon_lower2.t_full,m,
floatingse.member8_Y_pontoon_lower2.E_full,Pa,
floatingse.member8_Y_pontoon_lower2.G_full,Pa,
floatingse.member8_Y_pontoon_lower2.rho_full,kg/m**3,
floatingse.member8_Y_pontoon_lower2.sigma_y_full,Pa,
floatingse.member8_Y_pontoon_lower2.unit_cost_full,USD/kg,
floatingse.member8_Y_pontoon_lower2.outfitting_full,,
floatingse.member8_Y_pontoon_lower2.grid_axial_joints,,
floatingse.member8_Y_pontoon_lower2.bulkhead_grid,,
floatingse.member8_Y_pontoon_lower2.bulkhead_thickness,m,
floatingse.member8_Y_pontoon_lower2.ring_stiffener_web_height,m,
floatingse.member8_Y_pontoon_lower2.ring_stiffener_web_thickness,m,
floatingse.member8_Y_pontoon_lower2.ring_stiffener_flange_width,m,
floatingse.member8_Y_pontoon_lower2.ring_stiffener_flange_thickness,m,
floatingse.member8_Y_pontoon_lower2.ring_stiffener_spacing,,
floatingse.member8_Y_pontoon_lower2.axial_stiffener_web_height,m,
floatingse.member8_Y_pontoon_lower2.axial_stiffener_web_thickness,m,
floatingse.member8_Y_pontoon_lower2.axial_stiffener_flange_width,m,
floatingse.member8_Y_pontoon_lower2.axial_stiffener_flange_thickness,m,
floatingse.member8_Y_pontoon_lower2.axial_stiffener_spacing,rad,
floatingse.member8_Y_pontoon_lower2.ballast_grid,,
floatingse.member8_Y_pontoon_lower2.ballast_density,kg/m**3,
floatingse.member8_Y_pontoon_lower2.ballast_volume,m**3,
floatingse.member8_Y_pontoon_lower2.ballast_unit_cost,USD/kg,
floatingse.member8_Y_pontoon_lower2:mass_user,kg,
floatingse.member9_Y_pontoon_lower3.gc.d,m,
floatingse.member9_Y_pontoon_lower3.gc.t,m,
floatingse.member9_Y_pontoon_lower3.s,,
floatingse.member9_Y_pontoon_lower3.height,m,
floatingse.member9_Y_pontoon_lower3.outer_diameter,m,
floatingse.member9_Y_pontoon_lower3.ca_usr_grid,,
floatingse.member9_Y_pontoon_lower3.cd_usr_grid,,
floatingse.member9_Y_pontoon_lower3.wall_thickness,m,
floatingse.member9_Y_pontoon_lower3.E,Pa,
floatingse.member9_Y_pontoon_lower3.G,Pa,
floatingse.member9_Y_pontoon_lower3.sigma_y,Pa,
floatingse.member9_Y_pontoon_lower3.rho,kg/m**3,
floatingse.member9_Y_pontoon_lower3.unit_cost,USD/kg,
floatingse.member9_Y_pontoon_lower3.outfitting_factor,,
floatingse.member9_Y_pontoon_lower3.nodes_xyz,m,
floatingse.member9_Y_pontoon_lower3.s_full,m,
floatingse.member9_Y_pontoon_lower3.z_full,m,
floatingse.member9_Y_pontoon_lower3.outer_diameter_full,m,
